entity,topic,classification,document_reference,custom_id,speech_id,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
increase in UK short-term rates,interest rates,higher,,speech_16650_narr_16650_13_effect_57,16650,57,16650_13,effect,increase in UK short-term rates|16650_13
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_14_cause_58,16650,58,16650_14,cause,US monetary policy shock|16650_14
fall in UK output,output,lower,,speech_16650_narr_16650_14_effect_58,16650,58,16650_14,effect,fall in UK output|16650_14
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_15_cause_59,16650,59,16650_15,cause,US monetary policy shock|16650_15
increase in UK prices,inflation,higher,,speech_16650_narr_16650_15_effect_59,16650,59,16650_15,effect,increase in UK prices|16650_15
higher energy and food prices,inflation,higher,,speech_16650_narr_16650_16_cause_60,16650,60,16650_16,cause,higher energy and food prices|16650_16
real income decrease,inflation,lower,,speech_16650_narr_16650_16_effect_60,16650,60,16650_16,effect,real income decrease|16650_16
two fiscal packages,government spending,higher,,speech_16650_narr_16650_17_cause_61,16650,61,16650_17,cause,two fiscal packages|16650_17
consumption spending support,government spending,higher,,speech_16650_narr_16650_17_effect_61,16650,61,16650_17,effect,consumption spending support|16650_17
strong employment,labour market,higher,,speech_16650_narr_16650_18_cause_62,16650,62,16650_18,cause,strong employment|16650_18
consumption spending support,government spending,higher,,speech_16650_narr_16650_18_effect_62,16650,62,16650_18,effect,consumption spending support|16650_18
wide-spread bonuses,labour market,higher,,speech_16650_narr_16650_19_cause_63,16650,63,16650_19,cause,wide-spread bonuses|16650_19
consumption spending support,government spending,higher,,speech_16650_narr_16650_19_effect_63,16650,63,16650_19,effect,consumption spending support|16650_19
robust wage growth,labour market,higher,,speech_16650_narr_16650_20_cause_64,16650,64,16650_20,cause,robust wage growth|16650_20
consumption spending support,government spending,higher,,speech_16650_narr_16650_20_effect_64,16650,64,16650_20,effect,consumption spending support|16650_20
strong housing values,housing market,higher,,speech_16650_narr_16650_21_cause_65,16650,65,16650_21,cause,strong housing values|16650_21
consumption spending support,government spending,higher,,speech_16650_narr_16650_21_effect_65,16650,65,16650_21,effect,consumption spending support|16650_21
accumulated savings,other,higher,,speech_16650_narr_16650_22_cause_66,16650,66,16650_22,cause,accumulated savings|16650_22
consumption spending support,government spending,higher,,speech_16650_narr_16650_22_effect_66,16650,66,16650_22,effect,consumption spending support|16650_22
quality trade-down,other,normal,,speech_16650_narr_16650_23_cause_67,16650,67,16650_23,cause,quality trade-down|16650_23
consumption spending support,government spending,higher,,speech_16650_narr_16650_23_effect_67,16650,67,16650_23,effect,consumption spending support|16650_23
borrowing through credit cards,credit,higher,,speech_16650_narr_16650_24_cause_68,16650,68,16650_24,cause,borrowing through credit cards|16650_24
consumption spending support,government spending,higher,,speech_16650_narr_16650_24_effect_68,16650,68,16650_24,effect,consumption spending support|16650_24
Fed tightening,interest rates,higher,,speech_16650_narr_16650_25_cause_69,16650,69,16650_25,cause,Fed tightening|16650_25
Sterling depreciation pressure,exchange rate,higher,,speech_16650_narr_16650_25_effect_69,16650,69,16650_25,effect,Sterling depreciation pressure|16650_25
Sterling depreciation,exchange rate,higher,,speech_16650_narr_16650_26_cause_70,16650,70,16650_26,cause,Sterling depreciation|16650_26
inflation increase,inflation,higher,,speech_16650_narr_16650_26_effect_70,16650,70,16650_26,effect,inflation increase|16650_26
Fed tightening,interest rates,higher,,speech_16650_narr_16650_27_cause_71,16650,71,16650_27,cause,Fed tightening|16650_27
inflation increase,inflation,higher,,speech_16650_narr_16650_27_effect_71,16650,71,16650_27,effect,inflation increase|16650_27
domestic conjuncture and global factor,exchange rate,higher,,speech_16650_narr_16650_28_cause_72,16650,72,16650_28,cause,domestic conjuncture and global factor|16650_28
reduction in risk of inflation boost,inflation,lower,,speech_16650_narr_16650_28_effect_72,16650,72,16650_28,effect,reduction in risk of inflation boost|16650_28
US monetary policy shocks,interest rates,higher,,speech_16650_narr_16650_29_cause_73,16650,73,16650_29,cause,US monetary policy shocks|16650_29
spillover into global financial and macroeconomic conditions,financial markets,lower,,speech_16650_narr_16650_29_effect_73,16650,73,16650_29,effect,spillover into global financial and macroeconomic conditions|16650_29
US monetary policy shocks,interest rates,higher,,speech_16650_narr_16650_30_cause_74,16650,74,16650_30,cause,US monetary policy shocks|16650_30
depression in world production and trade,output,lower,,speech_16650_narr_16650_30_effect_74,16650,74,16650_30,effect,depression in world production and trade|16650_30
decrease in global risk-taking,financial markets,lower,,speech_16650_narr_16650_31_cause_75,16650,75,16650_31,cause,decrease in global risk-taking|16650_31
slowdown,financial markets,lower,,speech_16650_narr_16650_31_effect_75,16650,75,16650_31,effect,slowdown|16650_31
US monetary policy,interest rates,higher,,speech_16650_narr_16650_32_cause_76,16650,76,16650_32,cause,US monetary policy|16650_32
contraction in output,output,lower,,speech_16650_narr_16650_32_effect_76,16650,76,16650_32,effect,contraction in output|16650_32
US monetary policy,interest rates,higher,,speech_16650_narr_16650_33_cause_77,16650,77,16650_33,cause,US monetary policy|16650_33
contraction in inflation,inflation,lower,,speech_16650_narr_16650_33_effect_77,16650,77,16650_33,effect,contraction in inflation|16650_33
US tightening,interest rates,higher,,speech_16650_narr_16650_34_cause_78,16650,78,16650_34,cause,US tightening|16650_34
inflation in emerging market economies,inflation,higher,,speech_16650_narr_16650_34_effect_78,16650,78,16650_34,effect,inflation in emerging market economies|16650_34
monetary policy loosening by the ECB,interest rates,lower,,speech_16650_narr_16650_35_cause_79,16650,79,16650_35,cause,monetary policy loosening by the ECB|16650_35
disinflation in non-Euro Central and Eastern European countries,inflation,lower,,speech_16650_narr_16650_35_effect_79,16650,79,16650_35,effect,disinflation in non-Euro Central and Eastern European countries|16650_35
US tightening,interest rates,higher,,speech_16650_narr_16650_36_cause_80,16650,80,16650_36,cause,US tightening|16650_36
trade-off inducing for the UK,trade,higher,,speech_16650_narr_16650_36_effect_80,16650,80,16650_36,effect,trade-off inducing for the UK|16650_36
inflation expectations,inflation,normal,,speech_16651_narr_16651_0_cause_81,16651,81,16651_0,cause,inflation expectations|16651_0
Phillips curve,inflation,normal,,speech_16651_narr_16651_0_effect_81,16651,81,16651_0,effect,Phillips curve|16651_0
Monetary Policy Committee raising interest rates,interest rates,higher,,speech_16651_narr_16651_1_cause_82,16651,82,16651_1,cause,Monetary Policy Committee raising interest rates|16651_1
increased borrowing costs for firms and households,interest rates,higher,,speech_16651_narr_16651_1_effect_82,16651,82,16651_1,effect,increased borrowing costs for firms and households|16651_1
increased borrowing costs for firms and households,interest rates,higher,,speech_16651_narr_16651_2_cause_83,16651,83,16651_2,cause,increased borrowing costs for firms and households|16651_2
reduced spending by firms and households,output,lower,,speech_16651_narr_16651_2_effect_83,16651,83,16651_2,effect,reduced spending by firms and households|16651_2
reduced spending by firms and households,output,lower,,speech_16651_narr_16651_3_cause_84,16651,84,16651_3,cause,reduced spending by firms and households|16651_3
increased unemployment and slack,labour market,higher,,speech_16651_narr_16651_3_effect_84,16651,84,16651_3,effect,increased unemployment and slack|16651_3
increased unemployment and slack,labour market,higher,,speech_16651_narr_16651_4_cause_85,16651,85,16651_4,cause,increased unemployment and slack|16651_4
companies adjusting prices,inflation,lower,,speech_16651_narr_16651_4_effect_85,16651,85,16651_4,effect,companies adjusting prices|16651_4
Monetary policy,interest rates,normal,,speech_16651_narr_16651_5_cause_86,16651,86,16651_5,cause,Monetary policy|16651_5
influence on inflation expectations,inflation,higher,,speech_16651_narr_16651_5_effect_86,16651,86,16651_5,effect,influence on inflation expectations|16651_5
shocks driving inflation away from target,inflation,higher,,speech_16651_narr_16651_6_cause_87,16651,87,16651_6,cause,shocks driving inflation away from target|16651_6
firms and households using backward-looking rule,inflation,higher,,speech_16651_narr_16651_6_effect_87,16651,87,16651_6,effect,firms and households using backward-looking rule|16651_6
firms facing bankruptcy,credit,higher,,speech_16651_narr_16651_7_cause_88,16651,88,16651_7,cause,firms facing bankruptcy|16651_7
raising prices to generate revenues,inflation,higher,,speech_16651_narr_16651_7_effect_88,16651,88,16651_7,effect,raising prices to generate revenues|16651_7
nominal wage rigidity,labour market,normal,,speech_16651_narr_16651_8_cause_89,16651,89,16651_8,cause,nominal wage rigidity|16651_8
downward rigidity of prices,inflation,higher,,speech_16651_narr_16651_8_effect_89,16651,89,16651_8,effect,downward rigidity of prices|16651_8
inflation expectations,inflation,higher,,speech_16651_narr_16651_9_cause_90,16651,90,16651_9,cause,inflation expectations|16651_9
higher inflation,inflation,higher,,speech_16651_narr_16651_9_effect_90,16651,90,16651_9,effect,higher inflation|16651_9
economic slack,output,normal,,speech_16651_narr_16651_10_cause_91,16651,91,16651_10,cause,economic slack|16651_10
prices rising more in expansions than falling in contractions,inflation,higher,,speech_16651_narr_16651_10_effect_91,16651,91,16651_10,effect,prices rising more in expansions than falling in contractions|16651_10
shocks increasing costs for some firms,inflation,higher,,speech_16651_narr_16651_11_cause_92,16651,92,16651_11,cause,shocks increasing costs for some firms|16651_11
persistent rise in desired mark-ups,inflation,higher,,speech_16651_narr_16651_11_effect_92,16651,92,16651_11,effect,persistent rise in desired mark-ups|16651_11
inflation expectations are time-varying,inflation,higher,,speech_16651_narr_16651_12_cause_93,16651,93,16651_12,cause,inflation expectations are time-varying|16651_12
inflation expectations,inflation,normal,,speech_16651_narr_16651_12_effect_93,16651,93,16651_12,effect,inflation expectations|16651_12
past inflation,inflation,higher,,speech_16651_narr_16651_13_cause_94,16651,94,16651_13,cause,past inflation|16651_13
short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_13_effect_94,16651,94,16651_13,effect,short-term inflation expectations|16651_13
realized inflation,inflation,higher,,speech_16651_narr_16651_14_cause_95,16651,95,16651_14,cause,realized inflation|16651_14
medium-term measures of inflation expectations,inflation,higher,,speech_16651_narr_16651_14_effect_95,16651,95,16651_14,effect,medium-term measures of inflation expectations|16651_14
drift in medium-term inflation expectations,inflation,higher,,speech_16651_narr_16651_15_cause_96,16651,96,16651_15,cause,drift in medium-term inflation expectations|16651_15
medium-term inflation expectations,inflation,higher,,speech_16651_narr_16651_15_effect_96,16651,96,16651_15,effect,medium-term inflation expectations|16651_15
shock,geopolitical shocks,higher,,speech_16651_narr_16651_16_cause_97,16651,97,16651_16,cause,shock|16651_16
short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_16_effect_97,16651,97,16651_16,effect,short-term inflation expectations|16651_16
recent inflation outcomes,inflation,normal,,speech_16651_narr_16651_17_cause_98,16651,98,16651_17,cause,recent inflation outcomes|16651_17
short-term expectations,inflation,normal,,speech_16651_narr_16651_17_effect_98,16651,98,16651_17,effect,short-term expectations|16651_17
price changes over the past 12 months,inflation,higher,,speech_16651_narr_16651_18_cause_99,16651,99,16651_18,cause,price changes over the past 12 months|16651_18
expectations of price changes over the next 12 months,inflation,higher,,speech_16651_narr_16651_18_effect_99,16651,99,16651_18,effect,expectations of price changes over the next 12 months|16651_18
massive energy price squeeze,inflation,higher,,speech_16651_narr_16651_19_cause_100,16651,100,16651_19,cause,massive energy price squeeze|16651_19
tightening of financial conditions,financial markets,higher,,speech_16651_narr_16651_19_cause_100,16651,100,16651_19,cause,tightening of financial conditions|16651_19
financial markets anticipate a worsening macro environment,financial markets,lower,,speech_16651_narr_16651_19_effect_100,16651,100,16651_19,effect,financial markets anticipate a worsening macro environment|16651_19
current and anticipated policy choices,interest rates,normal,,speech_16651_narr_16651_20_cause_101,16651,101,16651_20,cause,current and anticipated policy choices|16651_20
medium-term inflation expectations,inflation,normal,,speech_16651_narr_16651_20_effect_101,16651,101,16651_20,effect,medium-term inflation expectations|16651_20
monetary policy action,interest rates,normal,,speech_16651_narr_16651_21_cause_102,16651,102,16651_21,cause,monetary policy action|16651_21
price expectations in the DMP,inflation,normal,,speech_16651_narr_16651_21_effect_102,16651,102,16651_21,effect,price expectations in the DMP|16651_21
MPC cut rates,interest rates,lower,,speech_16651_narr_16651_22_cause_103,16651,103,16651_22,cause,MPC cut rates|16651_22
inflation expectations,inflation,higher,,speech_16651_narr_16651_22_effect_103,16651,103,16651_22,effect,inflation expectations|16651_22
MPC hiked rates,interest rates,higher,,speech_16651_narr_16651_23_cause_104,16651,104,16651_23,cause,MPC hiked rates|16651_23
inflation expectations,inflation,lower,,speech_16651_narr_16651_23_effect_104,16651,104,16651_23,effect,inflation expectations|16651_23
current wholesale energy prices passed on to households and firms,inflation,higher,,speech_16651_narr_16651_24_cause_105,16651,105,16651_24,cause,current wholesale energy prices passed on to households and firms|16651_24
