cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
monetary policy path,cause undue volatility in economic activity,monetary policy path can cause volatility,This is because the monetary policy path needed to achieve 2% at any specific point in time could cause undue volatility in economic activity.,NA,could,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_10
monetary policy decisions,influence expectations over future price-setting,monetary policy decisions influence future price-setting expectations,"But in any case, to the extent that monetary policy decisions in the short term can influence expectations over future price-setting, it can influence medium-term inflation and purchasing power, and therefore its own appropriate future stance.",NA,NA,short term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_11
monetary policy decisions,influence medium-term inflation,monetary policy decisions influence medium-term inflation,"But in any case, to the extent that monetary policy decisions in the short term can influence expectations over future price-setting, it can influence medium-term inflation and purchasing power, and therefore its own appropriate future stance.",NA,NA,medium-term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_12
monetary policy decisions,influence purchasing power,monetary policy decisions influence purchasing power,"But in any case, to the extent that monetary policy decisions in the short term can influence expectations over future price-setting, it can influence medium-term inflation and purchasing power, and therefore its own appropriate future stance.",NA,NA,medium-term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_13
monetary policy,change financial conditions,monetary policy changes financial conditions through intermediaries,"Monetary policy, both by domestic and external central banks, works through financial intermediaries to change financial conditions which in turn steers aggregate demand.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_14
financial conditions,steers aggregate demand,financial conditions steer aggregate demand,"Monetary policy, both by domestic and external central banks, works through financial intermediaries to change financial conditions which in turn steers aggregate demand.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_15
liquidity from past monetary accommodation,affecting transmission of monetary policy,liquidity from past accommodation affects policy transmission,"With regard to the first linkage: Has the transmission of monetary policy signals to financial conditions changed, with liquidity from past monetary accommodation perhaps affecting transmission now?",NA,perhaps,now,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_16
previous accommodation,absorbs the transmission of monetary policy,previous accommodation absorbs policy transmission,"To the extent that previous accommodation absorbs the transmission of monetary policy to overall financial conditions, then the signals provided by monetary policy actions to the real economy could be muted.",NA,could,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_17
bolder monetary policy action,affect financial conditions,bolder policy action might be needed to affect conditions,"If so, then bolder monetary policy action might be needed to affect financial conditions, to then cascade to affect real decisions.",NA,might,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_18
bolder monetary policy action,cascade to affect real decisions,bolder policy action affects real decisions,"If so, then bolder monetary policy action might be needed to affect financial conditions, to then cascade to affect real decisions.",NA,might,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_19
tightness in labour and product markets,downstream wage and price pressures,tightness in markets affects wage and price pressures,With regard to the second linkage: Has the relationship between tightness in labour and product markets and downstream wage and price pressures changed on account of the shocks that have hit the economy?,NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_20
monetary policy signals,adjustment of the real economy,policy signals adjust the real economy,"Since the adjustment of the real economy to monetary policy signals is often estimated to last some 12-24 months, it is difficult to know the effects of policy in real time.",12-24 months,NA,12-24 months,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_21
monetary policy,affects the inputs to the long-run equilibrium,monetary policy affects long-run equilibrium inputs,"However, to the extent that monetary policy affects the inputs to the long-run equilibrium, the terminal rate will to some degree be endogenous to the economys path to it.",NA,to some degree,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_22
expectations by workers and firms for wage increases and price increases,generate a domestically-driven wage-price dynamic,expectations generate wage-price dynamic,"Key for me was that both the DMP and the agents survey reported continued strengthening of expectations by workers and firms for wage increases and price increases, which could generate a domestically-driven wage-price dynamic with higher inflation embedded in forward-looking pricing decisions.",NA,could,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_23
2021 wage settlements and price hikes,inflation would remain well above target,wage settlements and price hikes keep inflation above target,"In my speech at the beginning of the year, I illustrated that if the 2021 wage settlements and price hikes were repeated in 2022, inflation would remain well above target for longer than initially predicted.",NA,NA,for longer,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_24
increase in inflation expectations,significant role in wage settlements,inflation expectations influence wage settlements,"Therefore, even given the February projections, which showed a negative output gap from year 2 onwards, inflation expectations today likely will continue to play a significant role in wage settlements - keeping them stronger than consistent with the inflation target for longer.",NA,likely,for longer,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_25
firms pricing expectations,recover margins eroded from input price increases and higher energy prices,pricing expectations recover eroded margins,The DMP survey and agents commentary reported that firms pricing expectations for 2022 - at that time running north of 4.5% - sought to recover margins eroded from input price increases and higher energy prices in 2021.,north of 4.5%,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_26
erosion of international competition,strengthen ability to pass-on or top-up import prices,erosion of competition strengthens price pass-on ability,"I thought that even when global goods-price inflation started to decelerate, the erosion of international competition facing UK domestic firms could strengthen their ability to pass-on, or even top-up import prices.",NA,could,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_27
shocks to the price level,transitory effect on inflation,shocks mechanically wash out after a period,"In my previous speech, I illustrated how a single or even two successive shocks to the price level have a transitory effect on inflation, since these shocks mechanically wash out after either the one year or the two years have passed.",NA,NA,after either the one year or the two years have passed,PAST,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_28
repeated shocks on the same side,increase in the prices of goods and services in the UK,shocks increase prices,"The economy - firms, workers, consumers - is confronted by repeated shocks on the same side - Brexit, Covid, supply bottlenecks, energy prices - that on balance increase the prices of goods and services in the UK.",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_29
shocks over the past year,price level ratchet up,shocks cause price level to increase,"Over the past year, these shocks have caused the price level to ratchet up and rather than letting each shock die out with inflation returning to target, they have piled on top of each other increasing inflation to historic highs.",NA,NA,NA,PAST,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_30
shocks over the past year,increase in inflation to historic highs,shocks pile on top of each other increasing inflation,"Over the past year, these shocks have caused the price level to ratchet up and rather than letting each shock die out with inflation returning to target, they have piled on top of each other increasing inflation to historic highs.",NA,NA,NA,PAST,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_31
consumer expectations for aggregate inflation,goods inflation becomes embedded into overall cost inflation,expectations are part of wage-setting,"We know that consumer expectations for aggregate inflation are built from observed inflation of salient purchases, such as energy and food.[7] Since household inflation expectations are part of wage-setting, goods inflation can become embedded into overall cost inflation, albeit with a lag.",NA,NA,albeit with a lag,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_32
monetary policy that looks through price changes,sustaining aggregate inflation,policy allows for a ratchet-up in costs and prices,"Monetary policy that fully looks through these price changes may inadvertently allow for a ratchet-up in costs and prices, sustaining aggregate inflation even after those prices come down or their growth rates mean-revert.",NA,may,NA,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_33
inflation ratchet,higher overall inflation that persists,ratchet spreads into more firms pricing strategies,"Moreover, evidence continues to mount that an inflation ratchet may make it more likely that externally- driven inflation in just a few items may spread into more firms pricing strategies, yielding higher overall inflation that persists without monetary policy action.",NA,may,NA,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_34
high inflation,seeped into stable components,inflation is no longer limited to volatile components,"The analysis of a volatility-based measure of underlying inflation that my colleague, Lennart Brandt, and I have conducted suggests that high inflation is no longer limited to components that are typically quite volatile, but now has seeped into those that typically are rather stable.[8]",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_35
Ofgem price cap,prolongs the effect of the current increase in wholesale energy prices,mechanisms prolong the effect,"Additionally, specific mechanisms of the UK energy market, namely the Ofgem price cap, are designed in a way that prolongs the effect of the current increase in wholesale energy prices.",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_36
appreciation of Sterling and higher yield curve,tightened financial conditions,appreciation and yield curve tighten conditions,We can see how the appreciation of Sterling and the higher yield curve had tightened financial conditions but were more than offset by looser spreads and to some extent by buoyant equity prices.,NA,NA,NA,PAST,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_37
continued accommodative financial conditions,tempered any effect of policy tightening on aggregate demand,conditions could temper effect,"Whether because of previous accommodation or a delay in incorporating the trajectory of tightening monetary policy, the resulting continued accommodative financial conditions could have tempered any effect of policy tightening on aggregate demand, which would therefore have required a more robust signal from policy - a 50 basis point hike.",NA,could,NA,PAST,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_38
doubling of consumer-facing energy prices,reduction in real aggregate non-energy consumption,price increase reduces consumption,A back-of-the-envelope calculation of the impact of a doubling of consumer-facing energy prices - about what the October price cap might be relative to before-Covid - generated a reduction in real aggregate non- energy consumption of roughly 2%.,roughly 2%,NA,NA,FUTURE,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_39
2% drop in real post-tax labour income,reduction in demand,income drop causes demand reduction,This would come on top of any reduction in demand caused by the 2% drop in real post-tax labour income that was projected for 2022 as of the February forecast.,2%,NA,NA,FUTURE,speech_16649_batch_1,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_40
low price elasticity,reduction in consumption of non-energy goods and services,"Low price elasticity means consumers cannot easily substitute away from spending, leading to reduced consumption of other goods.","Since they cannot easily substitute away from this spending (i.e. their price elasticity is low) and they cannot typically smooth consumption by much (i.e. their marginal propensity to consume is high), they likely will reduce their consumption of non-energy goods and services nearly one-for-one.",NA,likely,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_41
high marginal propensity to consume,reduction in consumption of non-energy goods and services,"High marginal propensity to consume limits the ability to smooth consumption, leading to reduced consumption of other goods.","Since they cannot easily substitute away from this spending (i.e. their price elasticity is low) and they cannot typically smooth consumption by much (i.e. their marginal propensity to consume is high), they likely will reduce their consumption of non-energy goods and services nearly one-for-one.",NA,likely,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_42
accumulated liquid savings,ability to sustain consumption,Accumulated savings provide resources to maintain consumption levels.,These households also have accumulated the most amount of liquid savings throughout the pandemic[10] and will therefore be able to draw on savings in order to sustain their consumption.,NA,NA,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_43
energy price hikes,firms' expectations for sales and prices,Energy price hikes influence firms' expectations for future sales and pricing strategies.,"For the March meeting, given that the energy price hikes were just being incorporated into the Ofgem pricing formula and Russias invasion of Ukraine had just started, more insight might come from looking at firms expectations for sales and prices.",NA,might,NA,PRESENT,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_44
big hit to consumer purchasing power and demand,future reassessment of sales and prices by firms,A significant reduction in purchasing power and demand would lead firms to reassess their sales and pricing strategies.,"If a negative demand shock hits over this horizon, firms would not only be surprised, but they presumably would reassess sales prospects, which would also be the signal to reassess prices.",NA,presumably,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_45
past increases in firms' own prices and aggregate inflation,increase in firms' price expectations,Past price increases and inflation contribute to higher future price expectations.,A large share of the increase in firms price expectations over the last year can be attributed to past increases in both their own prices and aggregate inflation.,NA,NA,NA,PAST,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_46
energy price shock,change in price realisations,"The energy price shock affects price realisations, impacting inflation dynamics.","This change in price realisations in the face of the aggregate demand response to the energy price shock is critical to stem the ratchet effect, and to moderate aggregate CPI inflation.",NA,NA,NA,PRESENT,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_47
sluggish investment and illness-related non-participation in the labor force,lower long-term equilibrium rate,Continued sluggish investment and illness-related non-participation reduce the long-term equilibrium interest rate.,"That said, continued sluggish investment and workers reporting they cannot join the labour force due to illness, if sustained, would lower the long-term equilibrium rate.",NA,if sustained,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_48
sluggish recovery in UK trade relative to G7 peers,downside risk to productivity growth,"Sluggish trade recovery poses a risk to productivity growth, affecting the long-term real rate.","First, the more sluggish recovery in UK trade relative to G7 peers, which is associated with Brexit, portends downside risk to productivity growth, and therefore a lower long-term real rate.",NA,NA,NA,PRESENT,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_49
Covid-related new investments,positive productivity shock,Investments related to Covid adaptations could enhance productivity.,"On the other hand, my colleague Jonathan Haskel has suggested that Covid-related new investments associated with work-from-home as well as more efficient use of home resources and less unproductive time commuting could represent a positive productivity shock.",NA,could,NA,FUTURE,speech_16649_batch_2,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_50
uncertainty about the degree of inflation persistence,better to assume a high degree of persistence,Uncertainty leads to a robust control perspective favoring high persistence assumption,"See for example, Angeloni et al. (2003) and Coenen (2007) who find that with uncertainty about the degree of inflation persistence, it is better, from a robust control perspective, to assume a high degree of persistence.",NA,uncertainty,NA,NA,speech_16649_batch_3,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_51
uncertainty about the degree of intrinsic inflation persistence,optimal for policymakers to respond more aggressively to inflation,Uncertainty leads to aggressive policy response to reduce future inflation uncertainty,"Relatedly, Soderstrom (2002) shows in a (highly stylised) dynamic macroeconomic model that if there is uncertainty about the degree of intrinsic inflation persistence, it is optimal for policymakers to respond more aggressively to inflation in order to reduce uncertainty about the future path of inflation.",NA,uncertainty,NA,NA,speech_16649_batch_3,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_52
inflation not eliminated today,could feed through into future inflation,Current inflation persistence can lead to future inflation,"Uncertainty about the future path would be reduced because any inflation not eliminated today, could feed through into future inflation to an uncertain extent.",NA,could,NA,FUTURE,speech_16649_batch_3,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_53
long periods of loose policy,high debt levels,Extended loose policy leads to accumulation of high debt,See Mian et al. (2021) for an example of how high debt levels resulting from long periods of loose policy can depress the long-run neutral rate through deficient aggregate demand.,NA,NA,NA,PAST,speech_16649_batch_3,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_54
high debt levels,depress the long-run neutral rate,High debt levels lead to a decrease in the long-run neutral rate,See Mian et al. (2021) for an example of how high debt levels resulting from long periods of loose policy can depress the long-run neutral rate through deficient aggregate demand.,NA,NA,NA,PAST,speech_16649_batch_3,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_55
changes in interest rates in the US,affect the UK economy,US interest rate changes influence UK economic conditions through global financial spillovers,Catherine L. Mann says changes in interest rates in the US can affect the UK economy.,NA,NA,NA,PRESENT,speech_16650_batch_0,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_0
global financial spillovers,affect domestic financial conditions in the UK,International financial conditions influence UK financial markets,"For the UK, data and surveys already show a rising importance of global spillovers for domestic financial conditions.",NA,NA,NA,PRESENT,speech_16650_batch_0,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_1
US monetary policy tightening,slowdown in activity and disinflation abroad,US demand reduction decreases foreign demand for goods and services,"On the one hand, via slowing US domestic demand, US monetary tightening will reduce demand for goods and services produced abroad.",NA,NA,NA,FUTURE,speech_16650_batch_0,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_2
US monetary policy tightening,appreciate the Dollar,Higher US interest rates increase demand for Dollar-denominated assets,"On the other hand, all other things being equal, a monetary policy tightening in the US ought to appreciate the Dollar vis-a-vis foreign currencies as compensation for holding Dollar-denominated assets rises and capital flows to the US increase.",NA,NA,NA,FUTURE,speech_16650_batch_0,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_3
appreciate the Dollar,capital outflows and a depreciating foreign currency,Stronger Dollar leads to reduced capital inflows to foreign economies,"For the foreign economy, this means capital outflows (or reduced capital inflows) and a depreciating currency.",NA,NA,NA,FUTURE,speech_16650_batch_0,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_4
Imported goods become more expensive in terms of the foreign currency,Inflationary effect in the non-US economy,The global financial channel transmits the cost increase to inflation,"As imported goods become more expensive in terms of the foreign currency, this global financial channel will tend to have an inflationary effect in the non-US economy.",NA,NA,NA,FUTURE,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_5
Depreciation makes exports from this country more attractive,Boost to exports,Increased attractiveness of exports leads to higher demand,To the extent that the depreciation makes exports from this country more attractive on the world market there may be a boost to exports that offset the global demand slowdown.,NA,there may be,NA,FUTURE,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_6
US tightening,Inflationary pressures in emerging market economies,US tightening increases costs and prices in emerging markets,Inflationary pressures from US tightening have been documented especially for emerging market economies and have been found to be large and significantly,NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_7
US tightening,Sterling depreciation,US tightening leads to a change in exchange rates,"This inflationary effect is consistent with the effect on the bilateral exchange rate: Here, a US tightening leads to a Sterling depreciation of 472 percent by year 2.",472 percent by year 2,NA,by year 2,PAST,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_8
US monetary policy shock increases the US 3-months Treasury bill rate by 100 basis points,Decrease in the level of real economic activity by 3 percent,Higher interest rates reduce economic activity,The red lines in Chart 5 show that a shock which increases the US 3-months Treasury bill rate by 100 basis points decreases the level of real economic activity by 3 percent by the end of the second year.,3 percent by the end of the second year,NA,by the end of the second year,FUTURE,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_9
US monetary policy shock increases the US 3-months Treasury bill rate by 100 basis points,Decrease in the price level by about 0.4 percent,Higher interest rates reduce price levels,"It also decreases the price level by about 0.4 percent by the end of year 3, although this effect is statistically insignificant in the sample.",0.4 percent by the end of year 3,although this effect is statistically insignificant,by the end of year 3,FUTURE,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_10
US tightening,Inflationary effect in the UK,US tightening affects UK prices through exchange rate changes,"For the UK, using historical data, it turns out, that a US tightening has been inflationary rather than disinflationary.",NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_11
US tightening,Fall in UK output,US tightening reduces demand and output in the UK,"Even though output in the UK falls by nearly as much as in the US (the blue line in the left panel), the price level initially jumps and is persistently higher throughout (the blue line in the right panel) adding about half a percentage point to inflation at the end of the first year.",NA,NA,NA,PAST,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_12
US tightening,Sterling depreciation,Interest rate differential causes exchange rate changes,"The rates differential between the US and the UK remains in favour of the US throughout, and this differential is the deciding factor for the financial channel which is why the bilateral exchange rate traces out a persistent depreciation of Sterling as a result of the shock.",NA,NA,NA,PRESENT,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_13
US monetary policy shock,UK short-term rates rise immediately after the shock,UK monetary policy reacts to US policy changes,"On average, over the past, UK short term rates rise immediately after the shock (by 27 basis points, so by about a quarter of the US response) but fall thereafter, reaching a trough of-74 basis points at the end of year 3.","27 basis points rise, -74 basis points trough at the end of year 3",NA,NA,PAST,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_14
US monetary policy shock,UK policymaker chooses to add stimulus,UK policy response to offset negative output effects,"Thus, on net the UK policymaker in the model as estimated from the data, chooses to add stimulus as a result of US tightening, in order to offset the negative output effects of the global demand channel at the cost of temporarily higher inflation and a persistently higher price level.",NA,NA,NA,PRESENT,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_15
US monetary policy shock,Depreciation of Sterling,Interest rate differential causes exchange rate changes,"Using the reaction function estimated from historical data (solid blue line), Sterling depreciates almost right away as consistent with the assumed interest rates differential.",NA,NA,NA,PRESENT,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_16
US monetary policy shock,UK price level jump,US policy changes affect UK prices through exchange rate and demand channels,"But, second, we can also see why it is important to react in a timely fashion to a US monetary policy shock that causes the UK price level to jump on impact.",NA,NA,NA,PRESENT,speech_16650_batch_1,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_17
higher energy and food prices,real incomes decrease,higher prices reduce purchasing power,"On the other hand, even though higher energy and food prices (as well as overall inflation) clearly are hitting real incomes, countervailing factors importantly and increasingly are likely to support consumption spending in the near term.",NA,NA,NA,PRESENT,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_18
consumption growth remains stronger than expected,firms' pricing expectations and decisions are supported,stronger consumption growth influences firms' pricing strategies,"All told, to the extent that consumption growth remains stronger than expected based on real income, this would support firms pricing expectations and decisions, and add to domestic upside risks to inflation.",NA,to the extent that,NA,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_19
consumption growth remains stronger than expected,domestic upside risks to inflation increase,stronger consumption growth adds to inflation risks,"All told, to the extent that consumption growth remains stronger than expected based on real income, this would support firms pricing expectations and decisions, and add to domestic upside risks to inflation.",NA,to the extent that,NA,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_20
Fed tightens at the currently expected pace,depreciation pressure on Sterling increases,tightening monetary policy affects currency value,"Taking my judgement that the domestic conjunctural situation is characterized by very high inflation and various supports to consumer purchasing power relative to real income, I now turn to the global factor: If the Fed tightens at the currently expected pace, and the ECB musters an increase soon, the scenarios outlined above suggest additional depreciation pressure on Sterling that could add to inflation particularly in the near term.",NA,If,NA,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_21
depreciation pressure on Sterling,inflation increases,"currency depreciation raises import prices, contributing to inflation","Taking my judgement that the domestic conjunctural situation is characterized by very high inflation and various supports to consumer purchasing power relative to real income, I now turn to the global factor: If the Fed tightens at the currently expected pace, and the ECB musters an increase soon, the scenarios outlined above suggest additional depreciation pressure on Sterling that could add to inflation particularly in the near term.",NA,could,particularly in the near term,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_22
Fed tightening,inflation increases by about half a percentage point,monetary policy changes affect inflation rates,Using the reaction function based on historical data with about a % response to the posited Fed tightening would add about half a percentage point to inflation in the first year.,about half a percentage point,NA,in the first year,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_23
domestic inflation already embedded,inflation is further boosted by Sterling depreciation,existing inflationary pressures are exacerbated by currency depreciation,"In my view, a more robust policy move, based on both domestic conjuncture and commensurate with the global factor, reduces the risk that domestic inflation already embedded is further boosted by inflation imported via a Sterling depreciation.",NA,NA,NA,FUTURE,speech_16650_batch_2,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_24
US monetary policy shocks,spillover into global financial and macroeconomic conditions,US monetary policy shocks affect global conditions through spillovers,"For example, Miranda-Agrippino & Nenova (2022) show how US monetary policy shocks significantly spill over into global financial and macroeconomic conditions, depressing world production and trade.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_25
US monetary policy shocks,depressing world production,US monetary policy shocks lead to a decrease in world production,"For example, Miranda-Agrippino & Nenova (2022) show how US monetary policy shocks significantly spill over into global financial and macroeconomic conditions, depressing world production and trade.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_26
