,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Goh Chok Tong,"{  ""Date_of_birth"": ""1941-05-20"",  ""Bachelor_institution"": ""University of Singapore"",  ""Bachelor_year"": ""1964"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Arts in Development Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong"",    ""Bachelor_institution"": ""https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong"",    ""Bachelor_year"": ""https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong""  }} ","{'Date_of_birth': '1941-05-20', 'Bachelor_institution': 'University of Singapore', 'Bachelor_year': '1964', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Arts in Development Economics', 'Sources': {'Date_of_birth': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'Bachelor_institution': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'Bachelor_year': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong'}}",1941-05-20,University of Singapore,1964,,,,Master of Arts in Development Economics,"{'Date_of_birth': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'Bachelor_institution': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'Bachelor_year': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.pmo.gov.sg/About-Us/Past-Prime-Ministers/Mr-GOH-Chok-Tong'}",False,1941-05-20,1941-05-20 00:00:00
Stephen Nickell,"{  ""Date_of_birth"": ""1944-04-25"",  ""Bachelor_institution"": ""Pembroke College, Cambridge"",  ""Bachelor_year"": ""1965"",  ""PhD_institution"": ""London School of Economics"",  ""PhD_year"": """",  ""PhD_thesis_director"": ""Frank Hahn, W. M. Gorman"",  ""highest_level_of_study"": ""Master of Science in Mathematical Economics and Econometrics"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Stephen_Nickell"",    ""Bachelor_institution"": ""https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm"",    ""Bachelor_year"": ""https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm"",    ""PhD_institution"": ""https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm"",    ""PhD_year"": """",    ""PhD_thesis_director"": ""https://en.wikipedia.org/wiki/Stephen_Nickell"",    ""highest_level_of_study"": ""https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm""  }} ","{'Date_of_birth': '1944-04-25', 'Bachelor_institution': 'Pembroke College, Cambridge', 'Bachelor_year': '1965', 'PhD_institution': 'London School of Economics', 'PhD_year': '', 'PhD_thesis_director': 'Frank Hahn, W. M. Gorman', 'highest_level_of_study': 'Master of Science in Mathematical Economics and Econometrics', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Stephen_Nickell', 'Bachelor_institution': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'Bachelor_year': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'PhD_institution': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'PhD_year': '', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Stephen_Nickell', 'highest_level_of_study': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm'}}",1944-04-25,"Pembroke College, Cambridge",1965,London School of Economics,,"Frank Hahn, W. M. Gorman",Master of Science in Mathematical Economics and Econometrics,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Stephen_Nickell', 'Bachelor_institution': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'Bachelor_year': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'PhD_institution': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm', 'PhD_year': '', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Stephen_Nickell', 'highest_level_of_study': 'https://publications.parliament.uk/pa/cm201011/cmselect/cmtreasy/545/545we02.htm'}",False,1944-04-25,1944-04-25 00:00:00
Sylvia Cronin,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Master's in Business Administration"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://web.actuaries.ie/events/2019/08/directors-interest-group-meeting-ireland-european-consolidation-centre""  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': ""Master's in Business Administration"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://web.actuaries.ie/events/2019/08/directors-interest-group-meeting-ireland-european-consolidation-centre'}}",,,,,,,Master's in Business Administration,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://web.actuaries.ie/events/2019/08/directors-interest-group-meeting-ireland-european-consolidation-centre'}",False,,
John Gieve,"{  ""Date_of_birth"": ""1950-02-20"",  ""Bachelor_institution"": ""New College, Oxford"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""MPhil in Philosophy"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/John_Gieve"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/John_Gieve"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/John_Gieve""  }} ","{'Date_of_birth': '1950-02-20', 'Bachelor_institution': 'New College, Oxford', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'MPhil in Philosophy', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/John_Gieve', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/John_Gieve', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/John_Gieve'}}",1950-02-20,"New College, Oxford",,,,,MPhil in Philosophy,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/John_Gieve', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/John_Gieve', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/John_Gieve'}",False,1950-02-20,1950-02-20 00:00:00
Kevin M Warsh,"{  ""Date_of_birth"": ""1970-04-13"",  ""Bachelor_institution"": ""Stanford University"",  ""Bachelor_year"": ""1992"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Juris Doctor (JD)"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Kevin_Warsh"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Kevin_Warsh"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Kevin_Warsh"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Kevin_Warsh""  }} ","{'Date_of_birth': '1970-04-13', 'Bachelor_institution': 'Stanford University', 'Bachelor_year': '1992', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Juris Doctor (JD)', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Kevin_Warsh'}}",1970-04-13,Stanford University,1992,,,,Juris Doctor (JD),"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Kevin_Warsh', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Kevin_Warsh'}",False,1970-04-13,1970-04-13 00:00:00
Colm Kincaid,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""Trinity College Dublin"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'Trinity College Dublin', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland'}}",,Trinity College Dublin,,,,,Bachelor's degree,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.irishlegal.com/articles/colm-kincaid-appointed-deputy-governor-in-central-bank-of-ireland'}",False,,
Kazuo Ueda,"{  ""Date_of_birth"": ""1951-09-20"",  ""Bachelor_institution"": ""The University of Tokyo"",  ""Bachelor_year"": ""1974"",  ""PhD_institution"": ""Massachusetts Institute of Technology"",  ""PhD_year"": ""1980"",  ""PhD_thesis_director"": ""Stanley Fischer"",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm"",    ""Bachelor_institution"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm"",    ""Bachelor_year"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm"",    ""PhD_institution"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm"",    ""PhD_year"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm"",    ""PhD_thesis_director"": ""https://en.wikipedia.org/wiki/Kazuo_Ueda"",    ""highest_level_of_study"": ""https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm""  }} ","{'Date_of_birth': '1951-09-20', 'Bachelor_institution': 'The University of Tokyo', 'Bachelor_year': '1974', 'PhD_institution': 'Massachusetts Institute of Technology', 'PhD_year': '1980', 'PhD_thesis_director': 'Stanley Fischer', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'Bachelor_institution': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'Bachelor_year': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_institution': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_year': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Kazuo_Ueda', 'highest_level_of_study': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm'}}",1951-09-20,The University of Tokyo,1974,Massachusetts Institute of Technology,1980,Stanley Fischer,PhD in Economics,"{'Date_of_birth': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'Bachelor_institution': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'Bachelor_year': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_institution': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_year': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Kazuo_Ueda', 'highest_level_of_study': 'https://www.boj.or.jp/en/about/organization/policyboard/gv_ueda.htm'}",True,1951-09-20,1951-09-20 00:00:00
Lisa D Cook,"{  ""Date_of_birth"": ""1964"",  ""Bachelor_institution"": ""Spelman College"",  ""Bachelor_year"": ""1986"",  ""PhD_institution"": ""University of California, Berkeley"",  ""PhD_year"": ""1997"",  ""PhD_thesis_director"": ""Barry Eichengreen and David Romer"",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.blackpast.org/african-american-history/lisa-d-cook-1964/"",    ""Bachelor_institution"": ""https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm"",    ""Bachelor_year"": ""https://www.blackpast.org/african-american-history/lisa-d-cook-1964/"",    ""PhD_institution"": ""https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm"",    ""PhD_year"": ""https://www.blackpast.org/african-american-history/lisa-d-cook-1964/"",    ""PhD_thesis_director"": ""https://www.blackpast.org/african-american-history/lisa-d-cook-1964/"",    ""highest_level_of_study"": ""https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm""  }} ","{'Date_of_birth': '1964', 'Bachelor_institution': 'Spelman College', 'Bachelor_year': '1986', 'PhD_institution': 'University of California, Berkeley', 'PhD_year': '1997', 'PhD_thesis_director': 'Barry Eichengreen and David Romer', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'Bachelor_institution': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm', 'Bachelor_year': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'PhD_institution': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm', 'PhD_year': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'PhD_thesis_director': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'highest_level_of_study': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm'}}",1964,Spelman College,1986,"University of California, Berkeley",1997,Barry Eichengreen and David Romer,PhD in Economics,"{'Date_of_birth': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'Bachelor_institution': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm', 'Bachelor_year': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'PhD_institution': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm', 'PhD_year': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'PhD_thesis_director': 'https://www.blackpast.org/african-american-history/lisa-d-cook-1964/', 'highest_level_of_study': 'https://www.federalreserve.gov/aboutthefed/bios/board/cook.htm'}",True,1964-01-01,1964-01-01 00:00:00
Michael Hodson,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Diploma in Corporate Governance"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": None,    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://www.iaim.ie/about/members/michael-hodson/""  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'Diploma in Corporate Governance', 'Sources': {'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.iaim.ie/about/members/michael-hodson/'}}",,,,,,,Diploma in Corporate Governance,"{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.iaim.ie/about/members/michael-hodson/'}",False,,
Godwin I Emefiele,"{  ""Date_of_birth"": ""1961-08-04"",  ""Bachelor_institution"": ""University of Nigeria, Nsukka"",  ""Bachelor_year"": ""1984"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's Degree in Finance"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Godwin_Emefiele"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Godwin_Emefiele"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Godwin_Emefiele"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Godwin_Emefiele""  }} ","{'Date_of_birth': '1961-08-04', 'Bachelor_institution': 'University of Nigeria, Nsukka', 'Bachelor_year': '1984', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's Degree in Finance"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Godwin_Emefiele'}}",1961-08-04,"University of Nigeria, Nsukka",1984,,,,Master's Degree in Finance,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Godwin_Emefiele', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Godwin_Emefiele'}",False,1961-08-04,1961-08-04 00:00:00
Sanusi Lamido Sanusi,"{  ""Date_of_birth"": ""1961-07-31"",  ""Bachelor_institution"": ""Ahmadu Bello University"",  ""Bachelor_year"": ""1981"",  ""PhD_institution"": ""School of Oriental and African Studies, University of London"",  ""PhD_year"": ""2024"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi"",    ""PhD_year"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi""  }} ","{'Date_of_birth': '1961-07-31', 'Bachelor_institution': 'Ahmadu Bello University', 'Bachelor_year': '1981', 'PhD_institution': 'School of Oriental and African Studies, University of London', 'PhD_year': '2024', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_institution': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_year': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi'}}",1961-07-31,Ahmadu Bello University,1981,"School of Oriental and African Studies, University of London",2024,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_institution': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_year': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Sanusi_Lamido_Sanusi'}",True,1961-07-31,1961-07-31 00:00:00
Sarah Bloom Raskin,"{  ""Date_of_birth"": ""1961-04-15"",  ""Bachelor_institution"": ""Amherst College"",  ""Bachelor_year"": ""1983"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Juris Doctor"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin""  }} ","{'Date_of_birth': '1961-04-15', 'Bachelor_institution': 'Amherst College', 'Bachelor_year': '1983', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Juris Doctor', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin'}}",1961-04-15,Amherst College,1983,,,,Juris Doctor,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Sarah_Bloom_Raskin'}",False,1961-04-15,1961-04-15 00:00:00
Chris Salmon,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""University of Bristol"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Postgraduate"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'University of Bristol', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Postgraduate', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography'}}",,University of Bristol,,,,,Postgraduate,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofengland.co.uk/about/people/past/chris-salmon/biography'}",False,,
Kalin Hristov,"{  ""Date_of_birth"": ""1971"",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree in Macroeconomics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.minfin.bg/en/834"",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.minfin.bg/en/834""  }} ","{'Date_of_birth': '1971', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree in Macroeconomics"", 'Sources': {'Date_of_birth': 'https://www.minfin.bg/en/834', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.minfin.bg/en/834'}}",1971,,,,,,Master's degree in Macroeconomics,"{'Date_of_birth': 'https://www.minfin.bg/en/834', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.minfin.bg/en/834'}",False,1971-01-01,1971-01-01 00:00:00
